"","dateRep","day","month","year","cases","deaths","country","popData2019","continentExp"
"142","23/07/2020",23,7,2020,188,21,"Afghanistan",38041757,"Asia"
"143","22/07/2020",22,7,2020,112,4,"Afghanistan",38041757,"Asia"
"144","21/07/2020",21,7,2020,140,5,"Afghanistan",38041757,"Asia"
"145","20/07/2020",20,7,2020,174,17,"Afghanistan",38041757,"Asia"
"146","19/07/2020",19,7,2020,12,17,"Afghanistan",38041757,"Asia"
"147","18/07/2020",18,7,2020,219,32,"Afghanistan",38041757,"Asia"
"148","17/07/2020",17,7,2020,76,21,"Afghanistan",38041757,"Asia"
"149","16/07/2020",16,7,2020,254,49,"Afghanistan",38041757,"Asia"
"150","15/07/2020",15,7,2020,285,33,"Afghanistan",38041757,"Asia"
"151","14/07/2020",14,7,2020,4,2,"Afghanistan",38041757,"Asia"
"152","13/07/2020",13,7,2020,0,0,"Afghanistan",38041757,"Asia"
"153","12/07/2020",12,7,2020,85,16,"Afghanistan",38041757,"Asia"
"154","11/07/2020",11,7,2020,458,37,"Afghanistan",38041757,"Asia"
"155","10/07/2020",10,7,2020,255,20,"Afghanistan",38041757,"Asia"
"156","09/07/2020",9,7,2020,59,1,"Afghanistan",38041757,"Asia"
"157","08/07/2020",8,7,2020,210,16,"Afghanistan",38041757,"Asia"
"158","07/07/2020",7,7,2020,433,56,"Afghanistan",38041757,"Asia"
"159","06/07/2020",6,7,2020,279,38,"Afghanistan",38041757,"Asia"
"160","05/07/2020",5,7,2020,348,7,"Afghanistan",38041757,"Asia"
"161","04/07/2020",4,7,2020,302,12,"Afghanistan",38041757,"Asia"
"162","03/07/2020",3,7,2020,186,33,"Afghanistan",38041757,"Asia"
"163","02/07/2020",2,7,2020,319,28,"Afghanistan",38041757,"Asia"
"164","01/07/2020",1,7,2020,279,13,"Afghanistan",38041757,"Asia"
"165","30/06/2020",30,6,2020,271,12,"Afghanistan",38041757,"Asia"
"166","29/06/2020",29,6,2020,351,18,"Afghanistan",38041757,"Asia"
"167","28/06/2020",28,6,2020,165,20,"Afghanistan",38041757,"Asia"
"168","27/06/2020",27,6,2020,276,8,"Afghanistan",38041757,"Asia"
"169","26/06/2020",26,6,2020,460,36,"Afghanistan",38041757,"Asia"
"170","25/06/2020",25,6,2020,234,21,"Afghanistan",38041757,"Asia"
"171","24/06/2020",24,6,2020,338,20,"Afghanistan",38041757,"Asia"
"172","23/06/2020",23,6,2020,310,17,"Afghanistan",38041757,"Asia"
"173","22/06/2020",22,6,2020,409,12,"Afghanistan",38041757,"Asia"
"174","21/06/2020",21,6,2020,546,21,"Afghanistan",38041757,"Asia"
"175","20/06/2020",20,6,2020,346,2,"Afghanistan",38041757,"Asia"
"176","19/06/2020",19,6,2020,658,42,"Afghanistan",38041757,"Asia"
"177","18/06/2020",18,6,2020,564,13,"Afghanistan",38041757,"Asia"
"178","17/06/2020",17,6,2020,783,13,"Afghanistan",38041757,"Asia"
"179","16/06/2020",16,6,2020,761,7,"Afghanistan",38041757,"Asia"
